City_ID,City,Lat,Lng,Max Temp °K,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp °C
249,half moon bay,37.4636,-122.4286,287.09,78,75,0.0,US,1675791348,13.939999999999998
250,moron,-34.6534,-58.6198,310.38,31,25,2.64,AR,1675791459,37.23000000000002
251,bengkulu,-3.8004,102.2655,297.67,86,96,3.33,ID,1675791459,24.52000000000004
252,huarmey,-10.0681,-78.1522,298.58,71,31,4.5,PE,1675791459,25.430000000000007
253,haines junction,60.7522,-137.5108,265.12,93,100,0.0,CA,1675791460,-8.029999999999973
254,sao jose do belmonte,-7.8614,-38.7597,308.3,18,52,3.68,BR,1675791460,35.150000000000034
255,pangnirtung,66.1451,-65.7125,240.15,68,20,0.0,CA,1675791461,-32.99999999999997
256,udachnyy,66.4167,112.4,236.73,66,97,1.21,RU,1675791462,-36.41999999999999
257,birjand,32.8663,59.2211,284.41,62,40,2.06,IR,1675791462,11.260000000000048
258,viedma,-40.8135,-62.9967,306.44,23,0,5.08,AR,1675791463,33.29000000000002
259,roald,62.5833,6.1333,279.35,81,75,5.14,NO,1675791463,6.2000000000000455
260,nikolskoye,59.7035,30.7861,271.09,91,90,4.03,RU,1675791171,-2.0600000000000023
261,oktyabrskiy,54.4815,53.471,252.55,100,95,1.49,RU,1675791464,-20.59999999999997
262,male,4.1748,73.5089,301.12,83,75,4.12,MV,1675791295,27.970000000000027
263,akureyri,65.6835,-18.0878,270.11,74,75,7.2,IS,1675791465,-3.039999999999964
264,sanger,36.708,-119.556,285.26,91,0,1.54,US,1675791465,12.110000000000014
265,cap malheureux,-19.9842,57.6142,300.63,74,17,4.47,MU,1675791466,27.480000000000015
266,jiuquan,39.7432,98.5174,270.69,47,98,2.13,CN,1675791466,-2.4599999999999795
267,lompoc,34.6391,-120.4579,289.7,71,0,0.89,US,1675791467,16.55000000000001
268,vestmanna,62.1564,-7.1664,279.66,81,100,9.26,FO,1675791467,6.510000000000048
269,sept-iles,50.2001,-66.3821,265.4,87,100,4.12,CA,1675791468,-7.75
270,hami,42.8,93.45,273.83,47,100,1.61,CN,1675791468,0.6800000000000068
271,coquimbo,-29.9533,-71.3436,295.0,68,0,5.66,CL,1675791469,21.850000000000023
272,laguna,38.421,-121.4238,285.42,74,0,1.54,US,1675791469,12.27000000000004
273,kirakira,-10.4544,161.9205,299.91,87,100,4.63,SB,1675791470,26.760000000000048
274,bayan,46.0833,127.4,250.75,99,39,0.6,CN,1675791470,-22.399999999999977
275,syracuse,37.0881,15.2792,281.8,51,95,7.29,IT,1675791393,8.650000000000034
276,liverpool,53.4106,-2.9779,281.82,81,20,1.54,GB,1675791325,8.670000000000016
277,channel-port aux basques,47.5702,-59.1367,267.67,53,84,5.6,CA,1675791471,-5.479999999999961
278,koutsouras,35.0339,25.9469,279.88,75,66,12.16,GR,1675791472,6.730000000000018
279,ilulissat,69.2167,-51.1,250.16,70,75,2.57,GL,1675791472,-22.98999999999998
280,hofn,64.2539,-15.2082,274.43,73,100,8.99,IS,1675791473,1.2800000000000296
281,tanout,14.9709,8.8879,297.86,10,100,5.01,NE,1675791473,24.71000000000004
282,inverell,-29.7833,151.1167,291.02,82,31,2.24,AU,1675791473,17.870000000000005
283,vao,-22.6667,167.4833,299.15,70,83,5.18,NC,1675791474,26.0
284,mount isa,-20.7333,139.5,299.02,83,76,2.06,AU,1675791474,25.870000000000005
285,krasnoselkup,65.7,82.4667,250.38,100,97,4.27,RU,1675791475,-22.769999999999985
286,amapa,1.0,-52.0,299.18,92,86,2.34,BR,1675791476,26.03000000000003
287,bambous virieux,-20.3428,57.7575,300.49,78,75,5.14,MU,1675791476,27.340000000000032
288,sorong,-0.8833,131.25,298.71,86,100,3.22,ID,1675791476,25.56
289,ahipara,-35.1667,173.1667,291.16,80,97,2.28,NZ,1675791354,18.010000000000048
290,wicklow,53.0,-6.4167,279.86,86,97,0.86,IE,1675791477,6.710000000000036
291,ponta delgada,37.7333,-25.6667,286.55,88,75,9.26,PT,1675791477,13.400000000000034
292,bembereke,10.2283,2.6634,303.68,12,100,2.59,BJ,1675791478,30.53000000000003
293,floro,61.5996,5.0328,278.69,87,75,3.6,NO,1675791478,5.5400000000000205
294,jalu,29.0331,21.5482,286.42,46,72,2.71,LY,1675791479,13.27000000000004
295,mar del plata,-38.0023,-57.5575,300.28,77,40,6.71,AR,1675791479,27.129999999999995
296,raudeberg,61.9875,5.1352,278.08,66,73,8.57,NO,1675791419,4.930000000000007
297,fengcheng,40.4536,124.0717,269.2,46,19,2.44,CN,1675791480,-3.9499999999999886
298,oranjemund,-28.55,16.4333,291.09,96,42,8.25,,1675791480,17.939999999999998
299,pontian kecil,1.4801,103.3899,299.27,88,99,2.76,MY,1675791481,26.120000000000005
300,sitka,57.0531,-135.33,273.09,86,40,1.54,US,1675791481,-0.0600000000000022
